video_id,video_label,comment_text,moderation_tier,final_label,matched_terms,explanation,still_live_on_yt
tSHIac079_s,Kannada Media Discussion,Must watch ❤❤Best movie,Needs Review,Offensive,,"Models agree it may be Offensive (86% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"Promotion is important 😢, yesto D Boss fan's gu gottilla e Tara movie release agide anta. 😊",Needs Review,Offensive,,"Models agree it may be Offensive (89% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Durgya stole my heart.. watch photo movie in cinemas now and have a chance to meet the director and cast.. best wishes to get a award for the movie..,Needs Review,Offensive,,"Models agree it may be Offensive (77% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"The best movie of 2024, in any language.",Needs Review,Offensive,,"Models agree it may be Offensive (78% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"such a good movie and really well executed. sad to see the empty seats in the theatre though.
thumba olledhithu",Needs Review,Offensive,,"Models agree it may be Offensive (89% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Super movie and Award winning movie........❤❤❤❤,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (92% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"Cinema nodidvi . mate bartilla yen  helbeku gottagtilla.ಮಾನವೀಯತೆಯ ಕೊರತೆ, ಯಾರ್ಯಾರೊ ಜೀವಾ ಕಳ್ಕೊಂಡ್ರು.ಎಷ್ಟೋ ಜನ ಅನಾಥರಾದ್ರು.Team photo ivarge dhanyavadagalu.ಮಾನವೀಯತೆ .ಉಳಿಯಲಿ.ಬೆಳೆಯಲಿ.ಉಳಿಸೋಣ.",Needs Review,Neutral,,"The two models disagree: fast check says 'Toxic', detailed check says 'Neutral'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,One of the best Award winning Movie 👑🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (90% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best❤ from D boss fan's❤,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (86% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Jai D Boss ❤️💥,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (76% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Well done team #Photo. Way to go. Which is your next film @Utsav Gonwar?,Needs Review,Offensive,,"Models agree it may be Offensive (76% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"All the best from D boss fan's ❤ to entire team
Love 💕 from Raichur",Needs Review,Hate Speech,,"Models agree it may be Hate Speech (92% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"ಸಿನಿಮಾಕ್ಕೆ ""ಲಾಕ್ ಡೌನ್"" ಅಂತಾನೇ ಹೆಸರಿಡಬಹುದಿತ್ತು..",Needs Review,Neutral,,"The two models disagree: fast check says 'Toxic', detailed check says 'Neutral'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"Thu enro D boss d boss ankondu.le d boss GE hele swalpa kithogiro film madadana stop maadsi.
Avan avnninda save madkolake hele..",Needs Review,Offensive,,"Models agree it may be Offensive (82% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best from D Boss fans,Needs Review,Offensive,,"Models agree it may be Offensive (54% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Dboss fans will be supportive for this movie ❤,Needs Review,Offensive,,"Models agree it may be Offensive (80% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Shilpa mudbi MDM song ❤❤❤❤🎉🎉,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (91% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,ಟ್ರೇಲರ್ ಚನಾಗಿದೆ ಹಳೆಯ ಕೆಟ್ಟ ದಿನಗಳು ನೆನಪಾದವು. ತಾಯಿ ಚಾಮುಂಡೇಶ್ವರಿಯ ಆಶೀರ್ವಾದ ನಿಮ್ಮ ಈ ಚಿತ್ರವನು ಗೆಲ್ಲ್ಲಿಸಲಿ,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (77% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best to the whole team of PHOTO🎉🎉,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (74% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Theatre ge visit haakoke olle movie bandide,Auto-Flag,Offensive,,Both models agree with very high confidence (96%).,True
tSHIac079_s,Kannada Media Discussion,Inta cinema talkies alli hakalla,Needs Review,Hate Speech,kalla,"Models agree it may be Hate Speech (82% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best ❤,Needs Review,Offensive,,"The two models disagree: fast check says 'Neutral', detailed check says 'Offensive'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Best wishes for D boss celebrates❤🎉,Needs Review,Offensive,,"Models agree it may be Offensive (76% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best from DBoss fans ❤🎉❤🎉,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (58% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Please tell me song name,Auto-Flag,Offensive,,Both models agree with very high confidence (95%).,True
tSHIac079_s,Kannada Media Discussion,As a DBoss fan I will watch this one❤,Needs Review,Offensive,,"The two models disagree: fast check says 'Neutral', detailed check says 'Offensive'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best ✌️👍💐💐,Needs Review,Hate Speech,,"The two models disagree: fast check says 'Neutral', detailed check says 'Hate Speech'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best from d boss fans 🚩,Needs Review,Offensive,,"The two models disagree: fast check says 'Neutral', detailed check says 'Offensive'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best from D Boss ❤🎉🎉,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (77% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best from D Boss fans❤❤❤,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (89% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Jai D BOSS ❤❤❤,Auto-Flag,Hate Speech,,Both models agree with very high confidence (97%).,True
tSHIac079_s,Kannada Media Discussion,Best wishes from Dboss❤ fans .,Needs Review,Neutral,,"The two models disagree: fast check says 'Toxic', detailed check says 'Neutral'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Namma uttara karnataka ❤❤,Auto-Flag,Hate Speech,,Both models agree with very high confidence (99%).,True
tSHIac079_s,Kannada Media Discussion,All the best from ದೇವತ ಮನುಷ್ಯ #DBoSS and d boss fans ❤,Needs Review,Offensive,,"The two models disagree: fast check says 'Neutral', detailed check says 'Offensive'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,All the best from D cult's🎉❤,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (79% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Boss fan's attendance please 🥺 This Is 😢,Needs Review,Offensive,,"Models agree it may be Offensive (82% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,all the best from Dboss celebrities🔥 #Photo,Needs Review,Offensive,,"Models agree it may be Offensive (91% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,congress nayi prakash raj arpisuva propoganda film,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (94% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,Please release it in Gujarat as well 🙌🏼,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (75% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,ಭಾರತದ ಆರ್ಥಿಕ ಹಿಂಜರಿಕೆ ಪರಸ್ಥಿತಿಯಲ್ಲಿ ಭಾರತದಲ್ಲಿಯೇ ತಯಾರು ಮಾಡಿ ಉಚಿತ ಕೋವಿಡ್ ವ್ಯಾಕ್ಸಿನ್ ನೀಡಿದ ಪ್ರಧಾನಮಂತ್ರಿ ನರೇಂದ್ರ ಮೋದಿ ಮತ್ತು ಹಿಂದುಳಿದ ರಾಷ್ಟ್ರಗಳಿಗೆ ಉಚಿತ ವ್ಯಾಕ್ಸಿನ್ ರವಾನಿಸಿ ಕೋಟ್ಯಾನು ಜನಗಳ ವಿಶ್ವಾಸವನ್ನು ಗೆದ್ದು ಭಾರತ ವಿಶ್ವಗುರು ಆಗುವ ಕಡೆಗೆ ದಾಪು ಕಾಲು ಹಾಕುತ್ತಿರುವಾಗ... ಪ್ರಕಾಶ್ ರೈ ಎಂಬ ಅಧಿಕಪ್ರಸಂಗಿ ಇಂದ ಮೋದಿಯವರು ಪಾಠ ಕಲಿಯಬೇಕಾಗಿದೆ🤦‍♂️,Needs Review,Offensive,,"Models agree it may be Offensive (65% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,"ಸೂಪರ್ ಫ್ರಿಮ್ಸ್,,, 
  ಕಥೆ ಎಲ್ಲರಿಗೂ ಇಷ್ಟ್ಟ ಆಗುತ್ತೆ ,, 

 ಅಣ್ಣಾವ್ರ ಅಭಿಮಾನಿಯಿಂದ
ನಿಮ್ಮ ತಂಡ ಕ್ಕೆ ಶುಭಾಶಯ ❤❤❤❤❤❤",Needs Review,Hate Speech,,"The two models disagree: fast check says 'Neutral', detailed check says 'Hate Speech'. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,what ever was done by then was rightly done it took a great strength and courage despite knowing people like prakash raj would be there,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (85% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,what a conspiracy is this jatthinage vishwaguru but beli hakyara what if they were left open and what is they were allowed to move allover and what was been done if prakash raj was PM,Auto-Flag,Hate Speech,,Both models agree with very high confidence (97%).,True
tSHIac079_s,Kannada Media Discussion,Truth to be told ❤️‍🔥❤️‍🔥❤️‍🔥🇮🇳🫡💯,Auto-Flag,Hate Speech,,Both models agree with very high confidence (97%).,True
tSHIac079_s,Kannada Media Discussion,Salute to this level of courage for making such realistic kinda movie about the real India ❤🎉🎉,Needs Review,Hate Speech,,"Models agree it may be Hate Speech (92% avg confidence), but no specific hostile term was matched - flagged on overall language pattern, which can be less reliable. Recommend human check.",True
tSHIac079_s,Kannada Media Discussion,nice trailor but...aisi anti indian films banake kya milata he logonko,Auto-Flag,Offensive,,Both models agree with very high confidence (96%).,True
